spy,spy,spy,spy,spy,spy,spy,agg,agg,agg,agg,agg,agg,agg
Open,High,Low,close,Volume,Dividends,Stock Splits,Open,High,Low,close,Volume,Dividends,Stock Splits
69.12395948289247,69.5994846272366,68.77248026127378,69.55813598632812,36771600,0.0,0,56.04371084828351,56.04919092283379,55.93961033218875,55.977962493896484,13600,0.0,0
69.24801710605803,69.44098445887099,68.40033308281133,68.88275146484375,70764500,0.0,0,56.0491654547043,56.2902342844401,56.0436853826441,56.26831817626953,62600,0.0,0
69.0826132874488,70.41960891087763,69.05504577111391,70.35069274902344,65797600,0.0,0,56.23548290653118,56.295751198424384,56.21356678401793,56.240962982177734,66300,0.0,0
70.24733036152294,70.68150700289647,70.04057657536381,70.60569763183594,44591500,0.0,0,55.99440106636472,56.24095427139712,55.89030472564076,56.153289794921875,68900,0.0,0
71.44647688587563,71.86687232599928,71.03986783347496,71.25350952148438,48806900,0.0,0,55.912232607465775,55.912232607465775,55.720467569851095,55.74786376953125,64500,0.0,0
71.3155547629116,71.66702886419849,71.12258209451963,71.57743835449219,20226500,0.0,0,55.68759489469947,55.87935575024512,55.66567877119809,55.830047607421875,28700,0.0,0
71.16390113040025,71.88752856482402,70.92269198559234,71.85307312011719,42602900,0.0,0,55.85194442226633,55.85194442226633,55.54512297939183,55.638267517089844,13000,0.0,0
71.90131718574916,71.94266582386963,71.26728019739788,71.67388916015625,30920800,0.0,0,55.60545384238294,55.91227563061449,55.49039723932477,55.77530288696289,42700,0.0,0
72.28040764788383,72.51472902470356,71.5567797002834,71.86690521240234,40066500,0.0,0,55.55057242259463,55.61084066313757,55.39168380480591,55.57796859741211,35900,0.0,0
71.85998816525526,72.08741626957638,71.61189099268412,72.06674194335938,22682800,0.0,0,55.70950948643354,55.91223048819252,55.70950948643354,55.88483428955078,13500,0.0,0
72.16322977682815,72.5629509665076,72.02539742216426,72.29417419433594,23825600,0.0,0,55.884816506117566,55.93960470589354,55.638267517089844,55.638267517089844,23700,0.0,0
